type,vertex_count,k,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
BA,50,3,3,0.09492635024549918,0,0.08979591836734693,1,0.08489795918367347,0,0.09959183673469388,1,0.09142857142857143,0,0.0963265306122449
BA,50,5,2,0.1568627450980392,1,0.15510204081632653,0,0.15346938775510205,3,0.15057283142389524,2,0.16339869281045752,5,0.1448559670781893
BA,50,7,2,0.19117647058823528,3,0.18330605564648117,2,0.19444444444444445,15,0.20714285714285716,0,0.20244897959183675,5,0.18765432098765433
BA,100,3,0,0.06060606060606061,0,0.057373737373737375,0,0.05858585858585859,4,0.05622977346278317,1,0.06222222222222222,1,0.05818181818181818
BA,100,5,3,0.10268849807964422,2,0.09537280258638109,1,0.09656565656565656,0,0.09616161616161616,7,0.1046865489957395,2,0.09860577894524146
BA,100,7,0,0.13818181818181818,1,0.1402020202020202,0,0.13696969696969696,1,0.1385858585858586,8,0.14181227143437627,1,0.1393939393939394
BA,150,3,2,0.04599964202613209,1,0.040805369127516776,2,0.04098800787542509,1,0.042237136465324385,0,0.04492170022371365,0,0.04277404921700224
BA,150,5,5,0.07577250335871026,2,0.07499552532665116,0,0.07284116331096196,0,0.07480984340044743,1,0.0785682326621924,0,0.07588366890380313
BA,150,7,6,0.10734767025089606,7,0.10453648915187377,0,0.10237136465324385,1,0.1032662192393736,2,0.10649722570252372,0,0.10129753914988815
BA,50,3,2,0.09640522875816994,3,0.09165302782324058,0,0.0963265306122449,2,0.08823529411764706,6,0.09090909090909091,1,0.08816326530612245
BA,50,5,12,0.14667817083692838,0,0.15346938775510205,4,0.14766201804757997,5,0.14320987654320988,1,0.16,4,0.14109926168990977
BA,50,7,5,0.2008230452674897,17,0.20385674931129477,2,0.1895424836601307,3,0.19148936170212766,5,0.19753086419753085,12,0.18809318377911993
BA,100,3,3,0.059834242975540734,5,0.058299595141700404,1,0.055757575757575756,2,0.05778945241462922,0,0.06101010101010101,0,0.057777777777777775
BA,100,5,0,0.10181818181818182,0,0.0993939393939394,2,0.09739341281066882,1,0.09858585858585858,30,0.09833887043189368,4,0.10032362459546926
BA,100,7,1,0.13818181818181818,1,0.1321212121212121,0,0.13818181818181818,1,0.1385858585858586,3,0.13988275722660198,1,0.13252525252525252
BA,150,3,4,0.045124899274778404,0,0.03955257270693512,2,0.041166994809378916,0,0.04241610738255033,4,0.045303966335392604,2,0.04170395561124038
BA,150,5,3,0.07787325456498388,0,0.07642058165548099,3,0.073218761188686,2,0.0762484338643279,0,0.07713646532438478,0,0.07677852348993289
BA,150,7,0,0.11042505592841163,0,0.10559284116331097,0,0.10684563758389262,1,0.10630872483221476,2,0.10685519957043135,1,0.10791946308724833
BA,50,3,1,0.08816326530612245,5,0.09382716049382717,1,0.08816326530612245,4,0.09023789991796555,4,0.0918785890073831,1,0.08979591836734693
BA,50,5,22,0.15492957746478872,2,0.14215686274509803,4,0.14602132895816242,1,0.1436734693877551,13,0.15170008718395817,1,0.1404081632653061
BA,50,7,0,0.20244897959183675,6,0.19173553719008266,1,0.1910204081632653,1,0.18775510204081633,1,0.19918367346938776,10,0.19322033898305085
BA,100,3,0,0.061414141414141414,1,0.05858585858585859,0,0.057777777777777775,1,0.05858585858585859,2,0.061022428773489595,4,0.060275080906148866
BA,100,5,3,0.10713563776025874,1,0.0993939393939394,5,0.1,5,0.10080971659919029,0,0.10181818181818182,2,0.09860577894524146
BA,100,7,1,0.13414141414141414,2,0.13578500707213578,1,0.13414141414141414,0,0.1321212121212121,0,0.14181818181818182,1,0.13494949494949496
BA,150,3,0,0.0454586129753915,1,0.04331096196868009,3,0.04206945936269244,2,0.040630034007517454,1,0.0461744966442953,0,0.04563758389261745
BA,150,5,0,0.07785234899328859,1,0.07570469798657718,2,0.07642742079828173,4,0.0730593607305936,0,0.07910514541387025,3,0.07626208378088077
BA,150,7,2,0.10989797744764632,1,0.10863534675615212,1,0.10612975391498881,0,0.10774049217002236,1,0.10935123042505593,1,0.10684563758389262
BA,50,3,2,0.08823529411764706,0,0.08816326530612245,2,0.08169934640522876,1,0.08816326530612245,1,0.08979591836734693,2,0.08496732026143791
BA,50,5,1,0.16979591836734695,4,0.15914684167350288,5,0.1662551440329218,0,0.16326530612244897,2,0.16013071895424835,2,0.1650326797385621
BA,50,7,0,0.2057142857142857,0,0.18775510204081633,2,0.19934640522875818,2,0.19444444444444445,2,0.20098039215686275,1,0.2073469387755102
BA,100,3,6,0.05552178318135765,0,0.05818181818181818,0,0.05696969696969697,2,0.056577086280056574,4,0.059870550161812294,0,0.059393939393939395
BA,100,5,3,0.10470992520719628,1,0.10181818181818182,0,0.10181818181818182,1,0.10141414141414141,2,0.1066882198423924,1,0.10424242424242425
BA,100,7,1,0.1406060606060606,8,0.1373425436814303,0,0.13656565656565656,2,0.13618912911699332,6,0.13941236068895643,0,0.141010101010101
BA,150,3,1,0.044384787472035794,1,0.044205816554809846,0,0.04331096196868009,3,0.04206945936269244,2,0.044925720422409166,0,0.04241610738255033
BA,150,5,2,0.07463755145874351,2,0.07213173438339002,0,0.07319910514541388,2,0.07320565598711294,3,0.07679914070891515,0,0.07391498881431767
BA,150,7,2,0.11007696438160014,0,0.10666666666666667,2,0.10596026490066225,0,0.10774049217002236,2,0.10882405584392339,0,0.10720357941834452
BA,50,3,0,0.09959183673469388,2,0.09640522875816994,1,0.0963265306122449,2,0.08986928104575163,7,0.09634551495016612,1,0.09795918367346938
BA,50,5,5,0.15637860082304528,6,0.15702479338842976,2,0.16339869281045752,7,0.15780730897009967,1,0.16326530612244897,1,0.16163265306122448
BA,50,7,14,0.19400352733686066,2,0.18790849673202614,3,0.18985270049099837,0,0.19591836734693877,15,0.22678571428571428,1,0.1910204081632653
BA,100,3,0,0.0597979797979798,2,0.05778945241462922,3,0.05579138872043663,2,0.05778945241462922,2,0.0594059405940594,4,0.05218446601941747
BA,100,5,1,0.10666666666666667,1,0.10020202020202021,0,0.10141414141414141,1,0.10181818181818182,3,0.10390135435617547,0,0.10585858585858586
BA,100,7,0,0.13575757575757577,0,0.13696969696969696,2,0.13053142048898767,2,0.13740149525156597,7,0.13958206532765266,3,0.13624418839700828
BA,150,3,1,0.04456375838926174,1,0.04366890380313199,0,0.042058165548098436,1,0.04402684563758389,8,0.04413743608145689,0,0.04384787472035794
BA,150,5,2,0.0778593162699123,1,0.07480984340044743,1,0.07516778523489932,1,0.07498881431767337,2,0.07642742079828173,0,0.07695749440715884
BA,150,7,2,0.10989797744764632,2,0.107213173438339,0,0.10863534675615212,0,0.10791946308724833,2,0.11115088598532308,3,0.10938059434300036
BA,50,3,4,0.09680065627563576,1,0.09142857142857143,1,0.0963265306122449,1,0.09142857142857143,1,0.08816326530612245,1,0.09142857142857143
BA,50,5,15,0.15178571428571427,1,0.15836734693877552,2,0.1503267973856209,0,0.15346938775510205,17,0.15426997245179064,0,0.15020408163265306
BA,50,7,5,0.20246913580246914,5,0.18271604938271604,1,0.20244897959183675,1,0.18775510204081633,1,0.20081632653061224,3,0.19148936170212766
BA,100,3,3,0.06104709925207196,0,0.05333333333333334,0,0.059393939393939395,1,0.055757575757575756,9,0.05657305657305657,3,0.0586213866990095
BA,100,5,2,0.10466760961810467,8,0.0987403494514425,0,0.0997979797979798,0,0.09737373737373738,1,0.10747474747474747,2,0.10264699939381693
BA,100,7,1,0.14222222222222222,1,0.14343434343434344,0,0.14303030303030304,0,0.13737373737373737,5,0.14048582995951417,0,0.14464646464646463
BA,150,3,0,0.04331096196868009,2,0.0418829425451942,1,0.04170022371364653,0,0.04116331096196868,4,0.04763183812337721,3,0.04206945936269244
BA,150,5,2,0.07964918560945052,2,0.07463755145874351,0,0.07373601789709172,0,0.07248322147651007,3,0.07769423558897243,0,0.07480984340044743
BA,150,7,2,0.10954000357973868,1,0.10505592841163311,0,0.10595078299776287,0,0.10702460850111857,2,0.10864506890996957,0,0.10809843400447428
BA,50,3,2,0.08823529411764706,3,0.08346972176759411,1,0.08326530612244898,0,0.08653061224489796,2,0.08660130718954248,1,0.08489795918367347
BA,50,5,1,0.16816326530612244,2,0.16176470588235295,0,0.16163265306122448,3,0.15875613747954173,4,0.16078753076292043,0,0.16326530612244897
BA,50,7,6,0.20330578512396694,1,0.19755102040816327,1,0.19591836734693877,2,0.20261437908496732,1,0.2089795918367347,1,0.19591836734693877
BA,100,3,2,0.058193574459486766,2,0.06142655081834714,2,0.058193574459486766,1,0.055757575757575756,1,0.06262626262626263,1,0.05818181818181818
BA,100,5,2,0.10507173166296221,1,0.09898989898989899,2,0.09860577894524146,2,0.10143463325924429,1,0.10262626262626262,1,0.0997979797979798
BA,100,7,1,0.14343434343434344,0,0.141010101010101,3,0.13745704467353953,3,0.13745704467353953,0,0.14303030303030304,0,0.13575757575757577
BA,150,3,2,0.04617862896008591,3,0.040637307554600786,1,0.04134228187919463,0,0.040805369127516776,0,0.0458165548098434,1,0.04134228187919463
BA,150,5,0,0.07821029082774049,3,0.0782312925170068,2,0.07553248612851261,0,0.07677852348993289,8,0.0791244280972459,2,0.07642742079828173
BA,150,7,6,0.1053763440860215,0,0.10201342281879194,2,0.10255951315553964,2,0.10363343475926258,1,0.10595078299776287,10,0.10332434860736747
BA,50,3,0,0.09142857142857143,1,0.08163265306122448,0,0.09959183673469388,0,0.08979591836734693,0,0.09959183673469388,6,0.0859504132231405
BA,50,5,4,0.1542247744052502,3,0.15548281505728315,0,0.1469387755102041,1,0.14530612244897959,0,0.15836734693877552,3,0.15711947626841244
BA,50,7,1,0.2057142857142857,0,0.20081632653061224,1,0.20081632653061224,0,0.21224489795918366,0,0.20244897959183675,1,0.21224489795918366
BA,100,3,2,0.06223479490806223,3,0.05902567212451991,1,0.0602020202020202,0,0.05858585858585859,0,0.06222222222222222,3,0.0586213866990095
BA,100,5,1,0.10585858585858586,1,0.10303030303030303,6,0.10091185410334347,2,0.10183875530410184,2,0.10345524348353202,2,0.10183875530410184
BA,100,7,3,0.14432989690721648,2,0.13861386138613863,2,0.1365932511618509,3,0.133009904992925,1,0.14424242424242426,6,0.13130699088145897
BA,150,3,0,0.047069351230425056,1,0.040268456375838924,1,0.04098434004474273,0,0.040089485458612975,4,0.04458769809293581,0,0.04134228187919463
BA,150,5,2,0.07571147306246644,1,0.07284116331096196,2,0.07105781277966708,2,0.07338464292106676,3,0.07518796992481203,1,0.07391498881431767
BA,150,7,1,0.10935123042505593,0,0.105413870246085,2,0.10291748702344729,1,0.10577181208053692,2,0.10613925183461607,0,0.10595078299776287
BA,50,3,3,0.09819967266775777,4,0.09023789991796555,4,0.10172272354388844,2,0.09967320261437909,10,0.09322033898305085,2,0.09313725490196079
BA,50,5,11,0.1606837606837607,0,0.15183673469387754,1,0.15020408163265306,1,0.14857142857142858,5,0.15637860082304528,3,0.16530278232405893
BA,50,7,1,0.19428571428571428,0,0.19918367346938776,0,0.19428571428571428,7,0.2009966777408638,2,0.19934640522875818,7,0.19767441860465115
BA,100,3,2,0.061022428773489595,2,0.056577086280056574,1,0.05414141414141414,3,0.055387103294926215,5,0.05951417004048583,0,0.057777777777777775
BA,100,5,1,0.10828282828282829,2,0.10305112143867448,1,0.10101010101010101,0,0.0993939393939394,3,0.10390135435617547,1,0.0997979797979798
BA,100,7,9,0.14285714285714285,3,0.14149989892864362,8,0.13774888256806175,0,0.1406060606060606,9,0.1448921448921449,3,0.13866990095007076
BA,150,3,6,0.04516129032258064,0,0.04384787472035794,1,0.04116331096196868,1,0.04331096196868009,1,0.047248322147651005,0,0.0454586129753915
BA,150,5,3,0.07876834944504117,2,0.07499552532665116,1,0.07713646532438478,8,0.07338297299721898,3,0.07841031149301826,2,0.07732235546805083
BA,150,7,1,0.10612975391498881,2,0.10488634329693933,2,0.10238052622158582,3,0.10687432867883996,3,0.10741138560687433,0,0.10577181208053692
BA,50,3,3,0.10147299509001637,4,0.09844134536505332,1,0.09959183673469388,1,0.10122448979591837,13,0.09415867480383609,4,0.09351927809680066
BA,50,5,1,0.156734693877551,4,0.15586546349466776,1,0.15020408163265306,1,0.16163265306122448,0,0.156734693877551,2,0.1568627450980392
BA,50,7,3,0.19148936170212766,1,0.19918367346938776,6,0.19008264462809918,2,0.19444444444444445,3,0.20949263502454993,10,0.211864406779661
BA,100,3,2,0.06263891695291979,1,0.05898989898989899,0,0.06101010101010101,0,0.057373737373737375,5,0.05951417004048583,0,0.05696969696969697
BA,100,5,2,0.10345524348353202,2,0.09577692463123863,3,0.09500707499494643,0,0.09494949494949495,4,0.09870550161812297,0,0.10101010101010101
BA,100,7,0,0.13616161616161615,0,0.13777777777777778,1,0.13737373737373737,2,0.13699737320670843,3,0.14271275520517485,6,0.13576494427558258
BA,150,3,4,0.0440504969110932,0,0.04062639821029083,2,0.04277787721496331,1,0.04277404921700224,5,0.04478280340349306,1,0.0454586129753915
BA,150,5,0,0.08089485458612976,2,0.0753534991945588,1,0.07677852348993289,1,0.07821029082774049,3,0.079484425349087,0,0.07552572706935123
BA,150,7,2,0.11132987291927689,0,0.10505592841163311,0,0.10469798657718121,1,0.10666666666666667,5,0.11070309001343484,0,0.10648769574944071
BA,50,3,1,0.09142857142857143,2,0.08986928104575163,0,0.0946938775510204,0,0.08163265306122448,25,0.08864864864864865,1,0.09142857142857143
BA,50,5,2,0.1503267973856209,1,0.15346938775510205,0,0.14530612244897959,3,0.14402618657937807,4,0.15586546349466776,4,0.1361771944216571
BA,50,7,4,0.1985233798195242,3,0.19312602291325695,4,0.19360131255127153,6,0.19173553719008266,4,0.20016406890894176,4,0.19524200164068908
BA,100,3,2,0.06304303899777733,3,0.06145138467758237,0,0.05696969696969697,0,0.057373737373737375,2,0.06263891695291979,1,0.061414141414141414
BA,100,5,3,0.10511421063270669,3,0.10066707095209218,0,0.1006060606060606,2,0.09981814507981411,2,0.10547585370781976,1,0.10383838383838384
BA,100,7,3,0.13705275924802912,2,0.13699737320670843,1,0.13616161616161615,1,0.13656565656565656,0,0.1393939393939394,1,0.138989898989899
BA,150,3,8,0.04646990221584283,0,0.044384787472035794,1,0.04170022371364653,2,0.043851798818686234,0,0.04671140939597315,0,0.04384787472035794
BA,150,5,0,0.08125279642058165,1,0.07319910514541388,0,0.07319910514541388,1,0.07516778523489932,4,0.0753872325185782,1,0.07463087248322148
BA,150,7,5,0.10819525302283924,3,0.10615825277479413,1,0.10577181208053692,2,0.10345444782530876,3,0.11385606874328678,2,0.10542330409880078
BA,50,3,31,0.0868421052631579,0,0.0963265306122449,3,0.10638297872340426,1,0.0963265306122449,2,0.1111111111111111,0,0.10448979591836735
BA,50,5,1,0.15183673469387754,1,0.15346938775510205,2,0.1568627450980392,5,0.151440329218107,0,0.156734693877551,7,0.15282392026578073
BA,50,7,17,0.20202020202020202,3,0.18985270049099837,1,0.1926530612244898,3,0.19639934533551553,4,0.2018047579983593,3,0.19967266775777415
BA,100,3,0,0.06101010101010101,0,0.05494949494949495,0,0.05696969696969697,2,0.05698120832491412,3,0.06145138467758237,1,0.05656565656565657
BA,100,5,2,0.10264699939381693,1,0.10181818181818182,3,0.101475641803113,1,0.10383838383838384,7,0.101034692635423,2,0.09941402303495656
BA,100,7,0,0.14222222222222222,3,0.13826561552456035,1,0.1406060606060606,2,0.13780561729642352,7,0.14201663623453034,3,0.13907418637558117
BA,150,3,0,0.0458165548098434,0,0.04134228187919463,1,0.04259507829977629,2,0.042061929479148025,1,0.0461744966442953,6,0.04247311827956989
BA,150,5,3,0.07662012173290368,1,0.07230425055928412,0,0.07391498881431767,1,0.07480984340044743,9,0.07792440973157375,0,0.07588366890380313
BA,150,7,1,0.10970917225950783,2,0.10739216037229282,1,0.10809843400447428,0,0.10720357941834452,1,0.11131991051454139,2,0.10846608197601575
BA,50,3,16,0.09230769230769231,0,0.08816326530612245,2,0.08169934640522876,0,0.09142857142857143,2,0.09477124183006536,3,0.09165302782324058
BA,50,5,1,0.16979591836734695,7,0.1511627906976744,2,0.15196078431372548,0,0.15020408163265306,6,0.15537190082644628,2,0.1568627450980392
BA,50,7,10,0.19322033898305085,2,0.19444444444444445,1,0.18775510204081633,0,0.1910204081632653,18,0.21828358208955223,5,0.1860082304526749
BA,100,3,1,0.06060606060606061,0,0.05696969696969697,3,0.05579138872043663,2,0.05496059810062639,0,0.057373737373737375,4,0.05906148867313916
BA,100,5,2,0.10507173166296221,0,0.10343434343434343,2,0.09779753485552636,5,0.09676113360323886,3,0.10470992520719628,4,0.10153721682847897
BA,100,7,4,0.1395631067961165,4,0.1343042071197411,1,0.13575757575757577,1,0.13777777777777778,2,0.1365932511618509,0,0.13252525252525252
BA,150,3,3,0.04439670605084139,1,0.0458165548098434,1,0.040805369127516776,1,0.040805369127516776,0,0.04796420581655481,1,0.04348993288590604
BA,150,5,2,0.07589045999642026,0,0.07302013422818791,0,0.07248322147651007,0,0.07355704697986577,3,0.07644110275689223,6,0.07275985663082438
BA,150,7,7,0.10740541509772279,0,0.10129753914988815,3,0.10329394915861081,1,0.1029082774049217,5,0.1051500223914017,1,0.10577181208053692
BA,50,3,4,0.0951599671862182,3,0.088379705400982,0,0.09795918367346938,1,0.09142857142857143,6,0.09752066115702479,2,0.09640522875816994
BA,50,5,2,0.16013071895424835,4,0.14273995077932733,1,0.1469387755102041,1,0.15183673469387754,4,0.15586546349466776,1,0.156734693877551
BA,50,7,0,0.20244897959183675,8,0.21052631578947367,1,0.20244897959183675,3,0.20621931260229132,8,0.2121971595655806,1,0.2089795918367347
BA,100,3,2,0.061022428773489595,0,0.061414141414141414,0,0.055757575757575756,0,0.0602020202020202,5,0.058299595141700404,0,0.05898989898989899
BA,100,5,23,0.09793485203321269,2,0.10022226712467165,2,0.10183875530410184,1,0.09737373737373738,6,0.10658561296859169,2,0.10062638916952919
BA,100,7,1,0.14222222222222222,1,0.14383838383838385,0,0.1402020202020202,1,0.1414141414141414,2,0.14427157001414428,7,0.13674173260296207
BA,150,3,0,0.04563758389261745,0,0.042237136465324385,1,0.03955257270693512,2,0.042061929479148025,3,0.045112781954887216,1,0.042237136465324385
BA,150,5,3,0.07679914070891515,1,0.07480984340044743,2,0.07374261678897441,0,0.07427293064876958,2,0.07732235546805083,1,0.07480984340044743
BA,150,7,0,0.10970917225950783,0,0.10720357941834452,0,0.10756152125279642,2,0.10810810810810811,3,0.11260293591120658,0,0.10845637583892617
BA,50,3,1,0.0946938775510204,1,0.0963265306122449,1,0.0963265306122449,2,0.0915032679738562,1,0.09142857142857143,2,0.09640522875816994
BA,50,5,3,0.16039279869067102,3,0.16530278232405893,1,0.16653061224489796,3,0.16530278232405893,0,0.16979591836734695,0,0.16979591836734695
BA,50,7,9,0.1900756938603869,0,0.1926530612244898,0,0.19918367346938776,6,0.18512396694214875,3,0.18330605564648117,2,0.19607843137254902
BA,100,3,1,0.05818181818181818,1,0.0597979797979798,2,0.06142655081834714,1,0.06060606060606061,1,0.06383838383838383,1,0.05898989898989899
BA,100,5,1,0.10666666666666667,0,0.10383838383838384,0,0.10383838383838384,3,0.10107135637760259,1,0.10181818181818182,2,0.10264699939381693
BA,100,7,3,0.14149989892864362,8,0.13774888256806175,3,0.13664847382251868,0,0.13777777777777778,2,0.1426550818347141,3,0.13705275924802912
BA,150,3,1,0.047248322147651005,0,0.04348993288590604,1,0.04313199105145414,2,0.04313585108287095,0,0.046353467561521255,2,0.04420977268659388
BA,150,5,2,0.07839627707177375,0,0.07731543624161073,2,0.07696438160014318,0,0.07874720357941835,0,0.0792841163310962,2,0.07821729013781994
BA,150,7,1,0.10756152125279642,2,0.10882405584392339,6,0.1043010752688172,4,0.1035007610350076,1,0.10738255033557047,0,0.10845637583892617
BA,50,3,0,0.10122448979591837,4,0.0918785890073831,1,0.09959183673469388,1,0.0963265306122449,0,0.10285714285714286,1,0.0946938775510204
BA,50,5,0,0.16326530612244897,1,0.15346938775510205,3,0.15057283142389524,6,0.15206611570247933,14,0.1728395061728395,6,0.15206611570247933
BA,50,7,12,0.2070750647109577,0,0.18775510204081633,0,0.1926530612244898,1,0.19755102040816327,1,0.19918367346938776,1,0.1893877551020408
BA,100,3,2,0.061830672863204685,7,0.05761817812943802,1,0.0602020202020202,3,0.06064281382656155,10,0.06075433231396534,5,0.05991902834008097
BA,100,5,2,0.10062638916952919,1,0.10262626262626262,0,0.10141414141414141,2,0.10022226712467165,0,0.10383838383838384,0,0.10181818181818182
BA,100,7,1,0.1482828282828283,2,0.14184683774499898,2,0.13699737320670843,1,0.1414141414141414,2,0.14669630228328956,1,0.14222222222222222
BA,150,3,0,0.04456375838926174,2,0.04259889028100949,0,0.042237136465324385,2,0.04331483801682477,0,0.0447427293064877,6,0.04247311827956989
BA,150,5,2,0.07893323787363522,1,0.07642058165548099,1,0.07677852348993289,2,0.07571147306246644,1,0.07838926174496644,0,0.07767337807606264
BA,150,7,2,0.10864506890996957,0,0.10666666666666667,4,0.10708210224729162,1,0.10791946308724833,4,0.10994717521711882,1,0.10774049217002236
BA,50,3,4,0.0918785890073831,3,0.09656301145662848,0,0.08653061224489796,1,0.08816326530612245,11,0.08717948717948718,0,0.09306122448979592
BA,50,5,7,0.15282392026578073,1,0.15346938775510205,1,0.15346938775510205,1,0.15346938775510205,4,0.14930270713699753,2,0.15522875816993464
BA,50,7,6,0.19008264462809918,0,0.1926530612244898,4,0.18867924528301888,4,0.18539786710418377,9,0.2001682085786375,1,0.17959183673469387
BA,100,3,2,0.05900181854920186,1,0.057373737373737375,0,0.05333333333333334,0,0.055353535353535356,6,0.05876393110435663,0,0.05818181818181818
