type,vertex_count,dimension,eigenvector_fp,eigenvector_energy,half_fp,half_energy
grid,50,2,0,0.017959183673469388,2,0.031020408163265307
grid,100,2,0,0.0032323232323232323,0,0.02707070707070707
grid,150,2,4,0.014854586129753915,0,0.021476510067114093
grid,50,2,0,0.006530612244897959,0,0.02122448979591837
grid,100,2,0,0.0016161616161616162,0,0.024242424242424242
grid,150,2,0,0.01807606263982103,1,0.021655480984340045
grid,50,2,0,0.019591836734693877,0,0.035918367346938776
grid,100,2,0,0.01616161616161616,0,0.02666666666666667
grid,150,2,0,0.01574944071588367,0,0.02272930648769575
grid,50,2,0,0.006530612244897959,2,0.04244897959183674
grid,100,2,4,0.009696969696969697,2,0.02666666666666667
grid,150,2,0,0.003937360178970917,1,0.021655480984340045
grid,50,2,0,0.026122448979591838,0,0.031020408163265307
grid,100,2,11,0.006464646464646465,0,0.030303030303030304
grid,150,2,6,0.019865771812080536,0,0.021118568232662192
grid,50,2,0,0.006530612244897959,1,0.037551020408163265
grid,100,2,0,0.011313131313131313,0,0.02585858585858586
grid,150,2,0,0.005548098434004474,1,0.021476510067114093
grid,50,2,0,0.013061224489795919,4,0.04081632653061224
grid,100,2,0,0.006464646464646465,0,0.028282828282828285
grid,150,2,0,0.011633109619686801,0,0.021655480984340045
grid,50,2,0,0.006530612244897959,0,0.03428571428571429
grid,100,2,0,0.011717171717171718,6,0.02707070707070707
grid,150,2,0,0.009843400447427294,1,0.021476510067114093
grid,50,2,0,0.006530612244897959,0,0.03918367346938775
grid,100,2,0,0.008484848484848486,1,0.02707070707070707
grid,150,2,0,0.011812080536912751,1,0.021834451901565997
grid,50,2,10,0.0,2,0.04244897959183674
grid,100,2,0,0.0032323232323232323,0,0.027878787878787878
grid,150,2,0,0.015212527964205816,0,0.021655480984340045
grid,50,2,0,0.013061224489795919,0,0.03918367346938775
grid,100,2,9,0.01494949494949495,1,0.025454545454545455
grid,150,2,5,0.017718120805369126,0,0.022550335570469798
grid,50,2,1,0.044081632653061226,1,0.044081632653061226
grid,100,2,0,0.0056565656565656566,0,0.027474747474747475
grid,150,2,3,0.014496644295302013,0,0.022192393736017897
grid,50,2,0,0.026122448979591838,0,0.044081632653061226
grid,100,2,0,0.008888888888888889,0,0.027474747474747475
grid,150,2,0,0.011096196868008949,0,0.021476510067114093
grid,50,2,0,0.0163265306122449,1,0.0473469387755102
grid,100,2,0,0.0032323232323232323,0,0.028686868686868688
grid,150,2,3,0.020044742729306488,0,0.0229082774049217
grid,50,2,0,0.006530612244897959,2,0.031020408163265307
grid,100,2,2,0.0052525252525252525,2,0.026262626262626262
grid,150,2,0,0.010559284116331096,0,0.021655480984340045
grid,50,2,0,0.0,0,0.04081632653061224
grid,100,2,1,0.014141414141414142,5,0.027474747474747475
grid,150,2,0,0.011991051454138703,0,0.023624161073825502
grid,50,2,0,0.013061224489795919,1,0.04897959183673469
grid,100,2,1,0.020202020202020204,3,0.024242424242424242
grid,150,2,0,0.009664429530201342,4,0.021476510067114093
grid,50,2,0,0.006530612244897959,6,0.0473469387755102
grid,100,2,2,0.012525252525252526,0,0.027878787878787878
grid,150,2,0,0.014496644295302013,3,0.021834451901565997
grid,50,2,0,0.03428571428571429,0,0.044081632653061226
grid,100,2,0,0.008484848484848486,0,0.02666666666666667
grid,150,2,2,0.01664429530201342,0,0.021834451901565997
grid,50,2,0,0.0,0,0.037551020408163265
grid,100,2,4,0.00808080808080808,0,0.028282828282828285
grid,150,2,0,0.012170022371364653,1,0.021655480984340045
grid,50,2,0,0.006530612244897959,0,0.029387755102040815
grid,100,2,3,0.006060606060606061,0,0.02585858585858586
grid,150,2,0,0.0035794183445190158,1,0.021834451901565997
grid,50,2,0,0.006530612244897959,2,0.037551020408163265
grid,100,2,0,0.024242424242424242,0,0.02707070707070707
grid,150,2,6,0.017360178970917226,7,0.02022371364653244
grid,50,2,0,0.022857142857142857,0,0.04244897959183674
grid,100,2,0,0.01090909090909091,2,0.023434343434343436
grid,150,2,3,0.019328859060402683,0,0.020402684563758388
grid,50,2,0,0.006530612244897959,0,0.044081632653061226
grid,100,2,0,0.009696969696969697,0,0.029494949494949494
grid,150,2,3,0.016465324384787473,0,0.023624161073825502
grid,50,2,0,0.0163265306122449,0,0.044081632653061226
grid,100,2,6,0.00808080808080808,0,0.024242424242424242
grid,150,2,0,0.011096196868008949,0,0.0229082774049217
grid,50,2,0,0.013061224489795919,0,0.03428571428571429
grid,100,2,0,0.02383838383838384,1,0.028686868686868688
grid,150,2,0,0.02022371364653244,3,0.022192393736017897
grid,50,2,8,0.019591836734693877,0,0.03918367346938775
grid,100,2,0,0.008888888888888889,0,0.027474747474747475
grid,150,2,3,0.017002237136465325,1,0.02308724832214765
grid,50,2,0,0.0,0,0.03918367346938775
grid,100,2,0,0.0044444444444444444,0,0.025454545454545455
grid,150,2,0,0.008948545861297539,1,0.020760626398210292
grid,50,2,0,0.013061224489795919,0,0.035918367346938776
grid,100,2,2,0.00808080808080808,0,0.028282828282828285
grid,150,2,1,0.017539149888143177,0,0.021834451901565997
grid,50,2,0,0.0163265306122449,0,0.031020408163265307
grid,100,2,0,0.018585858585858588,0,0.02707070707070707
grid,150,2,3,0.01592841163310962,0,0.021476510067114093
grid,50,2,0,0.0163265306122449,0,0.044081632653061226
grid,100,2,2,0.008484848484848486,5,0.027878787878787878
grid,150,2,10,0.019149888143176735,3,0.022550335570469798
grid,50,2,0,0.0,14,0.04081632653061224
grid,100,2,0,0.009696969696969697,10,0.026262626262626262
grid,150,2,1,0.011991051454138703,0,0.023624161073825502
grid,50,2,1,0.026122448979591838,0,0.0473469387755102
grid,100,2,4,0.008888888888888889,0,0.026262626262626262
grid,150,2,0,0.014854586129753915,3,0.02093959731543624
grid,50,2,0,0.006530612244897959,0,0.044081632653061226
grid,100,2,9,0.01575757575757576,0,0.025050505050505052
grid,150,2,0,0.014317673378076063,3,0.022013422818791945
grid,50,2,0,0.006530612244897959,0,0.04244897959183674
grid,100,2,0,0.007272727272727273,0,0.024242424242424242
grid,150,2,0,0.01807606263982103,2,0.022550335570469798
grid,50,2,0,0.009795918367346938,0,0.0473469387755102
grid,100,2,0,0.0032323232323232323,0,0.025454545454545455
grid,150,2,0,0.017718120805369126,1,0.021655480984340045
grid,50,2,0,0.013061224489795919,1,0.044081632653061226
grid,100,2,1,0.017777777777777778,0,0.022222222222222223
grid,150,2,4,0.015570469798657718,6,0.021118568232662192
grid,50,2,0,0.019591836734693877,0,0.04244897959183674
grid,100,2,0,0.008888888888888889,3,0.027878787878787878
grid,150,2,0,0.014854586129753915,2,0.02237136465324385
grid,50,2,0,0.035918367346938776,0,0.04244897959183674
grid,100,2,2,0.01898989898989899,3,0.027474747474747475
grid,150,2,1,0.01807606263982103,0,0.021297539149888144
grid,50,2,10,0.0,2,0.04244897959183674
grid,100,2,1,0.020606060606060607,0,0.027474747474747475
grid,150,2,1,0.016465324384787473,0,0.022013422818791945
grid,50,2,0,0.006530612244897959,0,0.03918367346938775
grid,100,2,5,0.012121212121212121,1,0.02707070707070707
grid,150,2,0,0.011991051454138703,2,0.022013422818791945
grid,50,2,1,0.031020408163265307,0,0.031020408163265307
grid,100,2,4,0.01616161616161616,3,0.026262626262626262
grid,150,2,2,0.017360178970917226,1,0.02308724832214765
grid,50,2,0,0.006530612244897959,1,0.0473469387755102
grid,100,2,3,0.023434343434343436,2,0.029494949494949494
grid,150,2,2,0.012348993288590604,0,0.021834451901565997
grid,50,2,0,0.006530612244897959,0,0.035918367346938776
grid,100,2,0,0.014141414141414142,0,0.028282828282828285
grid,150,2,3,0.011275167785234899,1,0.02058165548098434
grid,50,2,0,0.006530612244897959,1,0.04897959183673469
grid,100,2,1,0.014141414141414142,1,0.02707070707070707
grid,150,2,1,0.011096196868008949,0,0.023624161073825502
grid,50,2,0,0.006530612244897959,3,0.044081632653061226
grid,100,2,0,0.012525252525252526,0,0.027474747474747475
grid,150,2,2,0.012348993288590604,1,0.021118568232662192
grid,50,2,0,0.0163265306122449,0,0.03918367346938775
grid,100,2,4,0.00808080808080808,0,0.029494949494949494
grid,150,2,1,0.012706935123042506,8,0.021297539149888144
grid,50,2,2,0.022857142857142857,1,0.035918367346938776
grid,100,2,0,0.009696969696969697,0,0.022222222222222223
grid,150,2,4,0.014675615212527963,0,0.019686800894854587
grid,50,2,2,0.031020408163265307,2,0.03918367346938775
grid,100,2,0,0.0032323232323232323,3,0.025454545454545455
grid,150,2,2,0.010201342281879194,4,0.02058165548098434
grid,50,2,4,0.0326530612244898,0,0.0473469387755102
grid,100,2,0,0.0032323232323232323,0,0.025050505050505052
grid,150,2,2,0.010738255033557046,3,0.021297539149888144
grid,50,2,0,0.006530612244897959,3,0.044081632653061226
grid,100,2,2,0.010505050505050505,0,0.028686868686868688
grid,150,2,0,0.015212527964205816,5,0.022550335570469798
grid,50,2,0,0.006530612244897959,5,0.04244897959183674
grid,100,2,0,0.00808080808080808,3,0.028282828282828285
grid,150,2,1,0.01664429530201342,1,0.02093959731543624
grid,50,2,0,0.006530612244897959,4,0.03918367346938775
grid,100,2,0,0.0048484848484848485,0,0.026262626262626262
grid,150,2,2,0.008232662192393736,1,0.02058165548098434
grid,50,2,4,0.0163265306122449,2,0.035918367346938776
grid,100,2,8,0.00404040404040404,1,0.02909090909090909
grid,150,2,3,0.016465324384787473,0,0.022013422818791945
grid,50,2,0,0.006530612244897959,3,0.03918367346938775
grid,100,2,0,0.0032323232323232323,0,0.02666666666666667
grid,150,2,0,0.012170022371364653,3,0.02093959731543624
grid,50,2,0,0.022857142857142857,0,0.037551020408163265
grid,100,2,2,0.024646464646464646,1,0.026262626262626262
grid,150,2,0,0.010201342281879194,0,0.02237136465324385
grid,50,2,0,0.013061224489795919,0,0.037551020408163265
grid,100,2,0,0.0016161616161616162,0,0.026262626262626262
grid,150,2,0,0.005906040268456376,0,0.02237136465324385
grid,50,2,0,0.019591836734693877,0,0.037551020408163265
grid,100,2,0,0.0048484848484848485,2,0.02585858585858586
grid,150,2,2,0.01628635346756152,2,0.021297539149888144
grid,50,2,0,0.022857142857142857,0,0.03918367346938775
grid,100,2,0,0.0032323232323232323,2,0.02707070707070707
grid,150,2,1,0.0037583892617449664,2,0.021834451901565997
grid,50,2,0,0.024489795918367346,1,0.03918367346938775
grid,100,2,0,0.012525252525252526,0,0.025454545454545455
grid,150,2,1,0.011633109619686801,0,0.021476510067114093
grid,50,2,0,0.006530612244897959,0,0.03918367346938775
grid,100,2,0,0.009696969696969697,2,0.025050505050505052
grid,150,2,1,0.016465324384787473,3,0.021118568232662192
grid,50,2,0,0.006530612244897959,0,0.044081632653061226
grid,100,2,12,0.012121212121212121,2,0.02666666666666667
grid,150,2,0,0.017181208053691274,2,0.02093959731543624
grid,50,2,0,0.04081632653061224,1,0.024489795918367346
grid,100,2,2,0.011313131313131313,0,0.0298989898989899
grid,150,2,0,0.009485458612975391,0,0.020402684563758388
grid,50,2,0,0.006530612244897959,0,0.03918367346938775
grid,100,2,2,0.014141414141414142,3,0.027878787878787878
grid,150,2,6,0.014496644295302013,1,0.021834451901565997
grid,50,2,0,0.006530612244897959,0,0.03428571428571429
grid,100,2,1,0.01575757575757576,6,0.025050505050505052
grid,150,2,2,0.019865771812080536,0,0.02237136465324385
grid,50,2,0,0.006530612244897959,0,0.04244897959183674
grid,100,2,6,0.021414141414141413,0,0.025050505050505052
grid,150,2,2,0.011275167785234899,1,0.020760626398210292
grid,50,2,0,0.0,2,0.04244897959183674
grid,100,2,0,0.008484848484848486,1,0.02666666666666667
grid,150,2,0,0.013064876957494408,0,0.024697986577181207
grid,50,2,0,0.013061224489795919,0,0.04081632653061224
grid,100,2,0,0.012121212121212121,0,0.02707070707070707
grid,150,2,0,0.012170022371364653,0,0.022013422818791945
grid,50,2,0,0.022857142857142857,4,0.04244897959183674
grid,100,2,0,0.0048484848484848485,1,0.026262626262626262
grid,150,2,2,0.019149888143176735,6,0.021476510067114093
grid,50,2,0,0.0,2,0.037551020408163265
grid,100,2,0,0.011313131313131313,0,0.030303030303030304
grid,150,2,2,0.01879194630872483,0,0.022192393736017897
grid,50,2,0,0.006530612244897959,0,0.044081632653061226
grid,100,2,0,0.014545454545454545,2,0.028686868686868688
grid,150,2,0,0.012170022371364653,1,0.02272930648769575
grid,50,2,0,0.0326530612244898,1,0.04081632653061224
grid,100,2,2,0.010505050505050505,0,0.02585858585858586
grid,150,2,0,0.01807606263982103,0,0.023982102908277406
grid,50,2,0,0.019591836734693877,0,0.04081632653061224
grid,100,2,2,0.006464646464646465,2,0.025050505050505052
grid,150,2,4,0.012348993288590604,0,0.021834451901565997
grid,50,2,0,0.006530612244897959,0,0.04081632653061224
grid,100,2,3,0.02101010101010101,0,0.02383838383838384
grid,150,2,1,0.008769574944071589,1,0.021834451901565997
grid,50,2,0,0.006530612244897959,1,0.031020408163265307
grid,100,2,0,0.0032323232323232323,1,0.028282828282828285
grid,150,2,0,0.014854586129753915,0,0.02093959731543624
grid,50,2,0,0.022857142857142857,5,0.0326530612244898
grid,100,2,0,0.0,2,0.02707070707070707
grid,150,2,1,0.011096196868008949,2,0.02237136465324385
grid,50,2,0,0.013061224489795919,0,0.03918367346938775
grid,100,2,0,0.020202020202020204,0,0.02585858585858586
grid,150,2,3,0.019686800894854587,1,0.021476510067114093
grid,50,2,0,0.006530612244897959,0,0.03918367346938775
grid,100,2,0,0.00808080808080808,2,0.021414141414141413
grid,150,2,0,0.010380313199105146,0,0.021118568232662192
grid,50,2,0,0.006530612244897959,0,0.037551020408163265
grid,100,2,0,0.01575757575757576,0,0.027878787878787878
grid,150,2,4,0.015391498881431768,1,0.02093959731543624
grid,50,2,2,0.026122448979591838,1,0.044081632653061226
grid,100,2,1,0.006868686868686869,0,0.02585858585858586
grid,150,2,1,0.01574944071588367,0,0.023266219239373602
grid,50,2,0,0.019591836734693877,0,0.0326530612244898
grid,100,2,3,0.021414141414141413,0,0.027474747474747475
grid,150,2,2,0.019328859060402683,4,0.021834451901565997
grid,50,2,0,0.013061224489795919,2,0.037551020408163265
grid,100,2,0,0.00808080808080808,1,0.025050505050505052
grid,150,2,0,0.005906040268456376,0,0.021476510067114093
grid,50,2,0,0.019591836734693877,0,0.03918367346938775
grid,100,2,0,0.0032323232323232323,1,0.026262626262626262
grid,150,2,3,0.011812080536912751,2,0.021118568232662192
grid,50,2,6,0.017959183673469388,0,0.03918367346938775
grid,100,2,1,0.010101010101010102,0,0.027878787878787878
grid,150,2,1,0.018612975391498882,3,0.022192393736017897
grid,50,2,0,0.022857142857142857,0,0.04081632653061224
grid,100,2,8,0.017777777777777778,0,0.02909090909090909
grid,150,2,1,0.015570469798657718,0,0.02272930648769575
grid,50,2,0,0.0,0,0.044081632653061226
grid,100,2,3,0.008484848484848486,0,0.024242424242424242
grid,150,2,7,0.015570469798657718,0,0.023266219239373602
grid,50,2,0,0.026122448979591838,1,0.04244897959183674
grid,100,2,0,0.008888888888888889,0,0.028686868686868688
grid,150,2,0,0.019328859060402683,1,0.020760626398210292
grid,50,2,0,0.022857142857142857,5,0.0473469387755102
grid,100,2,4,0.013737373737373737,0,0.025454545454545455
grid,150,2,0,0.017181208053691274,1,0.022013422818791945
grid,50,2,0,0.013061224489795919,0,0.037551020408163265
grid,100,2,2,0.020202020202020204,0,0.027474747474747475
grid,150,2,0,0.011275167785234899,1,0.022192393736017897
grid,50,2,4,0.019591836734693877,0,0.04244897959183674
grid,100,2,0,0.012525252525252526,0,0.027474747474747475
grid,150,2,0,0.015570469798657718,1,0.02272930648769575
grid,50,2,0,0.0,4,0.035918367346938776
grid,100,2,0,0.00808080808080808,0,0.02585858585858586
grid,150,2,2,0.017002237136465325,4,0.020402684563758388
grid,50,2,0,0.0,0,0.0326530612244898
grid,100,2,0,0.0016161616161616162,3,0.02666666666666667
grid,150,2,1,0.01664429530201342,0,0.022013422818791945
grid,50,2,0,0.0,0,0.031020408163265307
grid,100,2,0,0.011717171717171718,8,0.025050505050505052
grid,150,2,0,0.01664429530201342,0,0.022013422818791945
grid,50,2,0,0.006530612244897959,1,0.035918367346938776
grid,100,2,0,0.0048484848484848485,0,0.027474747474747475
grid,150,2,3,0.018970917225950783,0,0.021118568232662192
grid,50,2,0,0.0,0,0.026122448979591838
grid,100,2,0,0.019797979797979797,2,0.028282828282828285
grid,150,2,0,0.01843400447427293,0,0.021655480984340045
grid,50,2,0,0.006530612244897959,1,0.0473469387755102
grid,100,2,2,0.01090909090909091,4,0.027474747474747475
grid,150,2,5,0.015570469798657718,2,0.02272930648769575
grid,50,2,0,0.0,1,0.0473469387755102
grid,100,2,2,0.01616161616161616,0,0.023434343434343436
grid,150,2,0,0.013422818791946308,3,0.023266219239373602
grid,50,2,0,0.006530612244897959,2,0.05061224489795919
grid,100,2,1,0.01575757575757576,7,0.027474747474747475
grid,150,2,2,0.015033557046979866,0,0.020760626398210292
grid,50,2,2,0.0473469387755102,1,0.037551020408163265
grid,100,2,6,0.019797979797979797,12,0.028686868686868688
grid,150,2,2,0.015391498881431768,0,0.02237136465324385
