type,vertex_count,probability,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
DuplicationDivergence,50,0.1,2,0.032679738562091505,1,0.037551020408163265,2,0.029411764705882353,0,0.029387755102040815,3,0.02618657937806874,1,0.027755102040816326
DuplicationDivergence,50,0.3,10,0.0288135593220339,28,0.004722550177095631,1,0.044081632653061226,0,0.060408163265306125,3,0.05073649754500818,6,0.04462809917355372
DuplicationDivergence,100,0.1,2,0.014952515659729238,1,0.01292929292929293,0,0.014141414141414142,0,0.016565656565656565,1,0.016565656565656565,1,0.01696969696969697
DuplicationDivergence,100,0.3,4,0.032362459546925564,4,0.024676375404530743,7,0.02353418543315074,1,0.028282828282828285,1,0.02101010101010101,2,0.019801980198019802
DuplicationDivergence,150,0.1,0,0.017897091722595078,1,0.012170022371364653,1,0.015391498881431768,3,0.01342642320085929,0,0.017539149888143177,2,0.01431895471630571
DuplicationDivergence,150,0.3,4,0.019697376667562,1,0.01574944071588367,2,0.018614641131197422,2,0.017719706461428317,2,0.017182745659566852,1,0.01879194630872483
DuplicationDivergence,50,0.1,4,0.03773584905660377,14,0.01763668430335097,0,0.037551020408163265,0,0.03918367346938775,2,0.029411764705882353,2,0.0457516339869281
DuplicationDivergence,50,0.3,1,0.022857142857142857,18,0.0,1,0.022857142857142857,5,0.01646090534979424,2,0.021241830065359478,1,0.011428571428571429
DuplicationDivergence,100,0.1,2,0.02020610224287735,0,0.013737373737373737,0,0.013737373737373737,0,0.015353535353535354,3,0.017384273296947646,1,0.017373737373737375
DuplicationDivergence,100,0.3,20,0.012605042016806723,0,0.023434343434343436,2,0.021014346332592443,0,0.020202020202020204,2,0.021014346332592443,3,0.021831412977562158
DuplicationDivergence,150,0.1,2,0.01431895471630571,3,0.013068385248836377,4,0.009669621273166801,2,0.010739216037229282,4,0.012534694242994,0,0.011633109619686801
DuplicationDivergence,150,0.3,8,0.01937741096259083,0,0.017002237136465325,0,0.019328859060402683,0,0.020044742729306488,0,0.021476510067114093,4,0.019697376667562
DuplicationDivergence,50,0.1,6,0.019834710743801654,1,0.031020408163265307,0,0.027755102040816326,0,0.026122448979591838,1,0.031020408163265307,1,0.031020408163265307
DuplicationDivergence,50,0.3,0,0.03428571428571429,6,0.024793388429752067,0,0.04081632653061224,1,0.029387755102040815,4,0.031173092698933553,1,0.031020408163265307
DuplicationDivergence,100,0.1,1,0.024242424242424242,9,0.014652014652014652,1,0.01292929292929293,0,0.020202020202020204,8,0.017472572125152377,8,0.014628199918732222
DuplicationDivergence,100,0.3,8,0.023567655424624138,15,0.02435500515995872,1,0.02909090909090909,0,0.030707070707070707,1,0.02909090909090909,1,0.025050505050505052
DuplicationDivergence,150,0.1,1,0.014138702460850111,4,0.012713761303608202,0,0.010917225950782998,0,0.012527964205816556,7,0.013448090371167294,0,0.012170022371364653
DuplicationDivergence,150,0.3,1,0.0229082774049217,0,0.020402684563758388,4,0.019697376667562,0,0.021297539149888144,0,0.022192393736017897,3,0.02327246688148944
DuplicationDivergence,50,0.1,1,0.024489795918367346,5,0.02139917695473251,0,0.026122448979591838,1,0.019591836734693877,6,0.021487603305785124,1,0.02122448979591837
DuplicationDivergence,50,0.3,5,0.019753086419753086,9,0.010092514718250631,2,0.0196078431372549,0,0.04244897959183674,2,0.0196078431372549,1,0.022857142857142857
DuplicationDivergence,100,0.1,4,0.021035598705501618,1,0.013333333333333334,1,0.018585858585858588,1,0.019393939393939394,1,0.02101010101010101,1,0.013333333333333334
DuplicationDivergence,100,0.3,3,0.0234485546796038,0,0.02383838383838384,1,0.02101010101010101,1,0.022626262626262626,2,0.01899373610830471,1,0.022222222222222223
DuplicationDivergence,150,0.1,2,0.01682477179165921,1,0.011991051454138703,1,0.012885906040268456,0,0.014317673378076063,0,0.015212527964205816,0,0.014675615212527963
DuplicationDivergence,150,0.3,0,0.020402684563758388,6,0.013799283154121864,0,0.018612975391498882,1,0.02093959731543624,1,0.02093959731543624,7,0.017213555675094135
DuplicationDivergence,50,0.1,1,0.027755102040816326,4,0.03609515996718622,0,0.027755102040816326,1,0.03428571428571429,1,0.04244897959183674,2,0.03758169934640523
DuplicationDivergence,50,0.3,2,0.021241830065359478,1,0.019591836734693877,1,0.024489795918367346,1,0.02122448979591837,1,0.02122448979591837,1,0.02122448979591837
DuplicationDivergence,100,0.1,3,0.02021427127552052,0,0.02666666666666667,1,0.019797979797979797,0,0.020606060606060607,1,0.02181818181818182,0,0.02383838383838384
DuplicationDivergence,100,0.3,1,0.030303030303030304,1,0.03313131313131313,1,0.025050505050505052,0,0.029494949494949494,5,0.029959514170040485,2,0.023439078601737724
DuplicationDivergence,150,0.1,0,0.012170022371364653,2,0.013960980848398067,1,0.010738255033557046,2,0.012350098442813675,1,0.014496644295302013,3,0.011815252416756176
DuplicationDivergence,150,0.3,6,0.017921146953405017,6,0.017921146953405017,3,0.017185821697099892,0,0.01843400447427293,2,0.019330588867012707,1,0.02022371364653244
DuplicationDivergence,50,0.1,8,0.02506265664160401,11,0.015384615384615385,5,0.01646090534979424,0,0.031020408163265307,1,0.0326530612244898,1,0.026122448979591838
DuplicationDivergence,50,0.3,8,0.03842940685045948,1,0.037551020408163265,1,0.04081632653061224,3,0.03764320785597381,7,0.03488372093023256,5,0.0411522633744856
DuplicationDivergence,100,0.1,6,0.02188449848024316,0,0.02181818181818182,0,0.017777777777777778,1,0.017373737373737375,2,0.023034956556880176,0,0.020606060606060607
DuplicationDivergence,100,0.3,14,0.025108046923235233,0,0.03111111111111111,1,0.024646464646464646,3,0.029512836062259955,6,0.028774062816616007,1,0.029494949494949494
DuplicationDivergence,150,0.1,13,0.013517166801838334,1,0.015212527964205816,0,0.013243847874720358,0,0.013243847874720358,1,0.017360178970917226,1,0.01395973154362416
DuplicationDivergence,150,0.3,11,0.01420863309352518,4,0.014862566030978602,4,0.0121765601217656,1,0.015391498881431768,1,0.021118568232662192,1,0.014496644295302013
DuplicationDivergence,50,0.1,10,0.010169491525423728,4,0.01804757998359311,1,0.026122448979591838,2,0.03594771241830065,2,0.032679738562091505,7,0.019933554817275746
DuplicationDivergence,50,0.3,0,0.05061224489795919,4,0.03609515996718622,1,0.05061224489795919,1,0.03918367346938775,8,0.03341687552213868,7,0.026578073089700997
DuplicationDivergence,100,0.1,7,0.01704199634814364,1,0.018585858585858588,1,0.017373737373737375,0,0.020202020202020204,1,0.019393939393939394,0,0.016565656565656565
DuplicationDivergence,100,0.3,0,0.03272727272727273,0,0.0298989898989899,0,0.029494949494949494,0,0.027474747474747475,11,0.026557711950970377,2,0.029096787229743383
DuplicationDivergence,150,0.1,2,0.011992124574906032,1,0.011633109619686801,1,0.010559284116331096,0,0.00912751677852349,6,0.00931899641577061,1,0.011096196868008949
DuplicationDivergence,150,0.3,3,0.02184031507339778,2,0.02219437981027385,0,0.01843400447427293,0,0.021297539149888144,1,0.024340044742729307,0,0.021118568232662192
DuplicationDivergence,50,0.1,1,0.017959183673469388,9,0.00672834314550042,1,0.019591836734693877,1,0.037551020408163265,11,0.013675213675213675,3,0.019639934533551555
DuplicationDivergence,50,0.3,17,0.031221303948576674,2,0.03758169934640523,0,0.0473469387755102,3,0.031096563011456628,0,0.044081632653061226,5,0.0411522633744856
DuplicationDivergence,100,0.1,12,0.018427518427518427,1,0.015353535353535354,1,0.01616161616161616,1,0.015353535353535354,0,0.018585858585858588,0,0.018585858585858588
DuplicationDivergence,100,0.3,2,0.025863810870883006,0,0.02707070707070707,2,0.024651444736310365,0,0.027878787878787878,10,0.026095820591233436,1,0.025050505050505052
DuplicationDivergence,150,0.1,1,0.017360178970917226,7,0.015779092702169626,1,0.014854586129753915,0,0.012706935123042506,2,0.013960980848398067,1,0.014496644295302013
DuplicationDivergence,150,0.3,3,0.01915503043322592,0,0.017539149888143177,0,0.016465324384787473,0,0.017539149888143177,4,0.020950846091861403,0,0.018970917225950783
DuplicationDivergence,50,0.1,1,0.0326530612244898,0,0.022857142857142857,0,0.019591836734693877,1,0.031020408163265307,0,0.024489795918367346,3,0.031096563011456628
DuplicationDivergence,50,0.3,0,0.0473469387755102,18,0.014925373134328358,1,0.05061224489795919,1,0.045714285714285714,0,0.045714285714285714,1,0.052244897959183675
DuplicationDivergence,100,0.1,18,0.01125703564727955,0,0.01494949494949495,1,0.013333333333333334,1,0.013737373737373737,7,0.010549807263136538,0,0.011717171717171718
DuplicationDivergence,100,0.3,35,0.019747416762342134,1,0.028686868686868688,0,0.03434343434343434,1,0.03838383838383838,2,0.026267932915740554,3,0.026278552658176673
DuplicationDivergence,150,0.1,3,0.016290726817042606,1,0.014317673378076063,0,0.013243847874720358,0,0.014138702460850111,3,0.016290726817042606,0,0.014496644295302013
DuplicationDivergence,150,0.3,0,0.024161073825503355,4,0.0189811084251052,2,0.020762484338643278,0,0.02308724832214765,6,0.02025089605734767,1,0.02308724832214765
DuplicationDivergence,50,0.1,0,0.04081632653061224,2,0.024509803921568627,1,0.031020408163265307,4,0.031173092698933553,9,0.023549201009251473,4,0.02132895816242822
DuplicationDivergence,50,0.3,1,0.044081632653061226,8,0.036758563074352546,1,0.03918367346938775,0,0.03918367346938775,9,0.031959629941127,5,0.0345679012345679
DuplicationDivergence,100,0.1,4,0.0186084142394822,1,0.014545454545454545,0,0.012121212121212121,1,0.014141414141414142,4,0.015776699029126214,0,0.015353535353535354
DuplicationDivergence,100,0.3,6,0.02188449848024316,8,0.01381552214546932,1,0.018585858585858588,1,0.024242424242424242,7,0.023939947250963683,2,0.018185492018589614
DuplicationDivergence,150,0.1,3,0.01539563193698532,0,0.011633109619686801,1,0.010201342281879194,1,0.016465324384787473,0,0.014854586129753915,1,0.014854586129753915
DuplicationDivergence,150,0.3,1,0.020402684563758388,0,0.01807606263982103,0,0.01628635346756152,0,0.01843400447427293,0,0.019328859060402683,0,0.01843400447427293
DuplicationDivergence,50,0.1,2,0.027777777777777776,1,0.026122448979591838,0,0.024489795918367346,1,0.02122448979591837,2,0.024509803921568627,6,0.023140495867768594
DuplicationDivergence,50,0.3,15,0.02142857142857143,1,0.03918367346938775,0,0.044081632653061226,1,0.045714285714285714,2,0.04738562091503268,1,0.04244897959183674
DuplicationDivergence,100,0.1,1,0.02101010101010101,1,0.01494949494949495,0,0.01696969696969697,2,0.01858961406344716,1,0.01616161616161616,0,0.015353535353535354
DuplicationDivergence,100,0.3,6,0.0243161094224924,1,0.028686868686868688,7,0.027591803611280177,1,0.027878787878787878,4,0.029935275080906147,1,0.0298989898989899
DuplicationDivergence,150,0.1,5,0.013076578593819973,1,0.013243847874720358,0,0.01145413870246085,0,0.012885906040268456,5,0.014151365875503806,0,0.014138702460850111
DuplicationDivergence,150,0.3,0,0.026308724832214764,1,0.02505592841163311,1,0.022013422818791945,1,0.02272930648769575,6,0.022939068100358423,1,0.026487695749440716
DuplicationDivergence,50,0.1,7,0.006644518272425249,1,0.04081632653061224,1,0.0326530612244898,1,0.035918367346938776,5,0.02962962962962963,1,0.029387755102040815
DuplicationDivergence,50,0.3,3,0.03764320785597381,1,0.04081632653061224,1,0.037551020408163265,0,0.044081632653061226,3,0.0425531914893617,0,0.04081632653061224
DuplicationDivergence,100,0.1,1,0.020202020202020204,5,0.015789473684210527,1,0.015353535353535354,0,0.01292929292929293,1,0.019393939393939394,1,0.01898989898989899
DuplicationDivergence,100,0.3,14,0.023873224943403992,5,0.018218623481781375,2,0.025863810870883006,1,0.02585858585858586,0,0.030303030303030304,1,0.03151515151515152
DuplicationDivergence,150,0.1,2,0.013424020046536603,1,0.012170022371364653,0,0.012348993288590604,0,0.011991051454138703,9,0.016518538468444206,1,0.013243847874720358
DuplicationDivergence,150,0.3,1,0.02666666666666667,0,0.02541387024608501,1,0.024340044742729307,1,0.024161073825503355,5,0.026332288401253918,2,0.0209414712725971
DuplicationDivergence,50,0.1,1,0.029387755102040815,1,0.027755102040816326,0,0.026122448979591838,0,0.024489795918367346,0,0.022857142857142857,0,0.024489795918367346
DuplicationDivergence,50,0.3,6,0.04132231404958678,1,0.037551020408163265,0,0.037551020408163265,1,0.045714285714285714,0,0.04081632653061224,5,0.0411522633744856
DuplicationDivergence,100,0.1,2,0.017781369973732065,1,0.017777777777777778,0,0.018585858585858588,1,0.018585858585858588,0,0.01898989898989899,1,0.01818181818181818
DuplicationDivergence,100,0.3,1,0.03272727272727273,0,0.04,2,0.039603960396039604,0,0.03838383838383838,6,0.02917933130699088,9,0.02726902726902727
DuplicationDivergence,150,0.1,3,0.01414249910490512,1,0.011633109619686801,0,0.012885906040268456,4,0.0118184260005372,1,0.013243847874720358,1,0.012170022371364653
DuplicationDivergence,150,0.3,7,0.022772099695176618,6,0.02114695340501792,1,0.020044742729306488,0,0.019865771812080536,3,0.023630504833512353,3,0.02201933404940924
DuplicationDivergence,50,0.1,0,0.0326530612244898,1,0.03428571428571429,1,0.031020408163265307,0,0.03428571428571429,6,0.02975206611570248,1,0.037551020408163265
DuplicationDivergence,50,0.3,8,0.031746031746031744,30,0.0,1,0.05061224489795919,26,0.0044444444444444444,5,0.03621399176954732,5,0.0345679012345679
DuplicationDivergence,100,0.1,1,0.027878787878787878,1,0.018585858585858588,0,0.01818181818181818,0,0.018585858585858588,1,0.021414141414141413,5,0.01902834008097166
DuplicationDivergence,100,0.3,1,0.023434343434343436,5,0.02348178137651822,1,0.022626262626262626,1,0.02909090909090909,1,0.02666666666666667,0,0.022222222222222223
DuplicationDivergence,150,0.1,4,0.015220700152207,2,0.012529085376767496,0,0.012706935123042506,1,0.012170022371364653,1,0.012885906040268456,0,0.01395973154362416
DuplicationDivergence,150,0.3,7,0.023489331181638873,0,0.02738255033557047,0,0.023266219239373602,0,0.024340044742729307,2,0.027206013960980848,1,0.02523489932885906
DuplicationDivergence,50,0.1,1,0.037551020408163265,6,0.019834710743801654,1,0.027755102040816326,2,0.0196078431372549,1,0.03918367346938775,3,0.02127659574468085
DuplicationDivergence,50,0.3,1,0.027755102040816326,2,0.021241830065359478,1,0.031020408163265307,1,0.027755102040816326,0,0.03428571428571429,4,0.02132895816242822
DuplicationDivergence,100,0.1,1,0.02101010101010101,0,0.020606060606060607,0,0.01494949494949495,1,0.017373737373737375,12,0.015151515151515152,0,0.02101010101010101
DuplicationDivergence,100,0.3,1,0.02909090909090909,0,0.028282828282828285,0,0.027474747474747475,0,0.03111111111111111,5,0.02834008097165992,0,0.02585858585858586
DuplicationDivergence,150,0.1,1,0.016107382550335572,3,0.01593268886501969,0,0.01378076062639821,1,0.01378076062639821,5,0.013076578593819973,0,0.01628635346756152
DuplicationDivergence,150,0.3,1,0.026308724832214764,3,0.02559971356963838,0,0.023803131991051454,1,0.02237136465324385,1,0.02702460850111857,6,0.02007168458781362
DuplicationDivergence,50,0.1,0,0.027755102040816326,9,0.01345668629100084,0,0.022857142857142857,2,0.02287581699346405,3,0.029459901800327332,0,0.022857142857142857
DuplicationDivergence,50,0.3,9,0.015138772077375946,14,0.01763668430335097,1,0.0326530612244898,1,0.0326530612244898,27,0.0,2,0.032679738562091505
DuplicationDivergence,100,0.1,0,0.01898989898989899,0,0.019393939393939394,0,0.017777777777777778,0,0.01696969696969697,1,0.019797979797979797,0,0.016565656565656565
DuplicationDivergence,100,0.3,0,0.02666666666666667,0,0.027878787878787878,3,0.021831412977562158,0,0.022626262626262626,5,0.024696356275303644,3,0.019001414998989285
DuplicationDivergence,150,0.1,2,0.014676928584213352,1,0.014675615212527963,0,0.012170022371364653,0,0.012170022371364653,3,0.01664876476906552,1,0.011991051454138703
DuplicationDivergence,150,0.3,0,0.022013422818791945,1,0.02058165548098434,0,0.018970917225950783,1,0.019328859060402683,0,0.022192393736017897,3,0.01915503043322592
DuplicationDivergence,50,0.1,1,0.022857142857142857,20,0.007729468599033816,5,0.01810699588477366,9,0.015138772077375946,29,0.0,12,0.013805004314063849
DuplicationDivergence,50,0.3,2,0.03758169934640523,3,0.03600654664484452,0,0.04244897959183674,0,0.03918367346938775,6,0.03966942148760331,1,0.04081632653061224
DuplicationDivergence,100,0.1,1,0.017373737373737375,1,0.01616161616161616,1,0.011313131313131313,1,0.01696969696969697,0,0.016565656565656565,3,0.014554275318374773
DuplicationDivergence,100,0.3,0,0.02909090909090909,1,0.02909090909090909,0,0.030303030303030304,2,0.028692665184885835,0,0.03434343434343434,0,0.028686868686868688
DuplicationDivergence,150,0.1,2,0.01557186325398246,2,0.014676928584213352,2,0.012708072310721318,4,0.0159369683946638,0,0.017539149888143177,1,0.013422818791946308
DuplicationDivergence,150,0.3,11,0.02068345323741007,1,0.019507829977628635,0,0.019865771812080536,0,0.01879194630872483,3,0.02166129609738632,1,0.019507829977628635
DuplicationDivergence,50,0.1,7,0.019933554817275746,5,0.01316872427983539,3,0.022913256955810146,1,0.029387755102040815,1,0.031020408163265307,2,0.02287581699346405
DuplicationDivergence,50,0.3,0,0.026122448979591838,2,0.027777777777777776,2,0.027777777777777776,0,0.022857142857142857,6,0.026446280991735537,2,0.026143790849673203
DuplicationDivergence,100,0.1,5,0.017408906882591092,3,0.014554275318374773,3,0.016171417020416416,1,0.020606060606060607,16,0.011180124223602485,1,0.02303030303030303
DuplicationDivergence,100,0.3,4,0.03033980582524272,1,0.02909090909090909,1,0.028282828282828285,1,0.028686868686868688,4,0.02953074433656958,1,0.030303030303030304
DuplicationDivergence,150,0.1,1,0.014675615212527963,3,0.014321518080916577,0,0.011812080536912751,0,0.012885906040268456,1,0.01664429530201342,1,0.01378076062639821
DuplicationDivergence,150,0.3,6,0.023655913978494623,1,0.025771812080536912,2,0.02470019688562735,0,0.028814317673378075,2,0.02702702702702703,0,0.02756152125279642
DuplicationDivergence,50,0.1,1,0.0326530612244898,3,0.02618657937806874,1,0.027755102040816326,1,0.024489795918367346,4,0.022969647251845776,0,0.029387755102040815
DuplicationDivergence,50,0.3,1,0.026122448979591838,1,0.037551020408163265,0,0.037551020408163265,0,0.035918367346938776,9,0.03700588730025231,0,0.024489795918367346
DuplicationDivergence,100,0.1,5,0.013360323886639677,4,0.014563106796116505,0,0.013737373737373737,1,0.01818181818181818,6,0.016210739614994935,2,0.015760759749444332
DuplicationDivergence,100,0.3,8,0.024380333197887037,1,0.025454545454545455,0,0.02181818181818182,7,0.027186041793467234,21,0.015611814345991562,0,0.024242424242424242
DuplicationDivergence,150,0.1,3,0.014858575008950948,1,0.01395973154362416,0,0.012170022371364653,1,0.012170022371364653,1,0.014317673378076063,1,0.011991051454138703
DuplicationDivergence,150,0.3,1,0.01378076062639821,16,0.00976933514246947,1,0.017718120805369126,3,0.014500537056928034,1,0.014675615212527963,1,0.014317673378076063
DuplicationDivergence,50,0.1,1,0.027755102040816326,0,0.031020408163265307,0,0.026122448979591838,0,0.026122448979591838,0,0.027755102040816326,4,0.02461033634126333
DuplicationDivergence,50,0.3,4,0.0,6,0.0,4,0.0,4,0.0,7,0.0,4,0.0
DuplicationDivergence,100,0.1,2,0.01858961406344716,1,0.01818181818181818,0,0.013333333333333334,1,0.01696969696969697,1,0.021414141414141413,0,0.015353535353535354
DuplicationDivergence,100,0.3,10,0.023241590214067277,1,0.026262626262626262,0,0.023434343434343436,0,0.027474747474747475,1,0.026262626262626262,1,0.02909090909090909
DuplicationDivergence,150,0.1,8,0.012380012559433032,1,0.013243847874720358,1,0.012706935123042506,0,0.012527964205816556,1,0.015033557046979866,1,0.013422818791946308
DuplicationDivergence,150,0.3,3,0.024167561761546726,2,0.026490066225165563,1,0.022550335570469798,1,0.023445190156599554,0,0.026845637583892617,1,0.025950782997762864
DuplicationDivergence,50,0.1,1,0.03428571428571429,3,0.02618657937806874,0,0.029387755102040815,0,0.03428571428571429,5,0.027983539094650206,2,0.024509803921568627
DuplicationDivergence,50,0.3,0,0.04897959183673469,1,0.04081632653061224,0,0.04244897959183674,4,0.0475799835931091,0,0.03918367346938775,3,0.04091653027823241
DuplicationDivergence,100,0.1,1,0.011717171717171718,13,0.008210180623973728,2,0.010911295211153768,3,0.0072771376591873865,2,0.012931905435441503,5,0.010931174089068825
DuplicationDivergence,100,0.3,2,0.031521519498888664,1,0.027474747474747475,2,0.027480299050313194,0,0.0298989898989899,13,0.020114942528735632,1,0.03111111111111111
DuplicationDivergence,150,0.1,1,0.016465324384787473,0,0.013601789709172259,0,0.014854586129753915,1,0.015391498881431768,1,0.016107382550335572,0,0.016107382550335572
DuplicationDivergence,150,0.3,5,0.028481862964621584,0,0.025592841163310964,0,0.02774049217002237,2,0.026490066225165563,8,0.025477707006369428,2,0.02631107929121174
DuplicationDivergence,50,0.1,0,0.03918367346938775,4,0.029532403609515995,1,0.022857142857142857,1,0.029387755102040815,8,0.02172096908939014,1,0.0326530612244898
DuplicationDivergence,50,0.3,6,0.02809917355371901,6,0.02809917355371901,0,0.022857142857142857,1,0.031020408163265307,8,0.02172096908939014,5,0.03292181069958848
DuplicationDivergence,100,0.1,10,0.01834862385321101,1,0.018585858585858588,0,0.01494949494949495,1,0.018585858585858588,1,0.018585858585858588,2,0.016973125884016973
DuplicationDivergence,100,0.3,2,0.031521519498888664,1,0.024242424242424242,1,0.027474747474747475,0,0.030303030303030304,1,0.03232323232323232,4,0.02953074433656958
DuplicationDivergence,150,0.1,1,0.014138702460850111,1,0.013422818791946308,2,0.011992124574906032,0,0.013243847874720358,1,0.015391498881431768,0,0.014138702460850111
DuplicationDivergence,150,0.3,3,0.021124239169351952,1,0.021476510067114093,1,0.021118568232662192,1,0.021297539149888144,1,0.02272930648769575,1,0.020044742729306488
DuplicationDivergence,50,0.1,0,0.045714285714285714,9,0.023549201009251473,0,0.035918367346938776,1,0.03918367346938775,15,0.0125,1,0.03918367346938775
DuplicationDivergence,50,0.3,10,0.01694915254237288,5,0.027983539094650206,0,0.04081632653061224,1,0.045714285714285714,0,0.044081632653061226,1,0.0473469387755102
DuplicationDivergence,100,0.1,1,0.022222222222222223,2,0.01858961406344716,0,0.01575757575757576,0,0.017373737373737375,0,0.018585858585858588,1,0.01818181818181818
DuplicationDivergence,100,0.3,3,0.026278552658176673,0,0.028282828282828285,0,0.02585858585858586,1,0.02707070707070707,4,0.024676375404530743,0,0.024646464646464646
DuplicationDivergence,150,0.1,1,0.014317673378076063,4,0.0121765601217656,0,0.012706935123042506,1,0.014138702460850111,2,0.015392876320028637,1,0.014138702460850111
DuplicationDivergence,150,0.3,1,0.02058165548098434,0,0.019865771812080536,1,0.01879194630872483,2,0.018972614999105065,0,0.02093959731543624,0,0.019149888143176735
DuplicationDivergence,50,0.1,9,0.025231286795626577,0,0.026122448979591838,2,0.02287581699346405,3,0.031096563011456628,0,0.029387755102040815,0,0.022857142857142857
DuplicationDivergence,50,0.3,12,0.03451251078515962,2,0.03594771241830065,1,0.027755102040816326,0,0.05061224489795919,20,0.00966183574879227,1,0.0473469387755102
DuplicationDivergence,100,0.1,0,0.01696969696969697,2,0.016569003839159425,0,0.01494949494949495,0,0.017777777777777778,2,0.019801980198019802,5,0.01700404858299595
DuplicationDivergence,100,0.3,5,0.029149797570850202,2,0.023439078601737724,3,0.027087123509197494,1,0.033535353535353536,4,0.025080906148867314,0,0.0298989898989899
DuplicationDivergence,150,0.1,0,0.015391498881431768,6,0.013082437275985664,0,0.010917225950782998,0,0.011633109619686801,6,0.013620071684587814,1,0.010380313199105146
DuplicationDivergence,150,0.3,4,0.0175485719401916,1,0.017897091722595078,0,0.015570469798657718,1,0.017718120805369126,1,0.017360178970917226,0,0.017718120805369126
DuplicationDivergence,50,0.1,2,0.03104575163398693,1,0.029387755102040815,1,0.031020408163265307,4,0.026251025430680888,1,0.029387755102040815,3,0.027823240589198037
DuplicationDivergence,50,0.3,10,0.01864406779661017,1,0.03428571428571429,1,0.035918367346938776,0,0.035918367346938776,2,0.027777777777777776,1,0.04244897959183674
DuplicationDivergence,100,0.1,5,0.01862348178137652,12,0.015561015561015561,4,0.01982200647249191,4,0.016181229773462782,6,0.017831813576494427,8,0.01828524989841528
DuplicationDivergence,100,0.3,0,0.023434343434343436,1,0.02181818181818182,0,0.019393939393939394,1,0.014545454545454545,1,0.018585858585858588,1,0.022626262626262626
DuplicationDivergence,150,0.1,3,0.013963480128893663,1,0.017002237136465325,1,0.012885906040268456,0,0.015212527964205816,5,0.016480071652485447,1,0.014675615212527963
